From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,WS,WD,SR,BP
07-01-2024 20:00,08-01-2024 00:00,75.32,142.55,9.67,35.65,27.41,17.48,11.89,0.9,41.78,6.85,7.9,1.56,4.51,1.86,21.86,80.62,1.4,88.68,1.14,None
08-01-2024 00:00,08-01-2024 04:00,78.19,135.35,8.97,38.95,28.57,17.67,7.54,0.63,31.17,5.22,2.56,0.27,0.73,0.24,19.33,87.85,0.79,132.09,0.46,None
08-01-2024 04:00,08-01-2024 08:00,75.44,144.49,9.07,44.75,31.68,18.02,6.74,0.72,12.03,6.22,4.5,0.51,1.43,0.52,17.64,94.23,1.04,225.77,6.76,None
08-01-2024 08:00,08-01-2024 12:00,69.29,153.72,9.89,36.19,27.96,17.59,23.58,0.94,48.08,8.02,7.51,1.11,3.31,1.26,21.87,77.87,1,132.11,121.8,None
08-01-2024 12:00,08-01-2024 16:00,63.46,120.16,None,None,None,None,14.73,0.9,80.87,6.07,11.05,1.65,4.53,1.82,27.61,54.8,1.15,150.25,70.43,None
08-01-2024 16:00,08-01-2024 20:00,52.98,103.62,127,124.32,166.8,44.88,11.5,1.89,34.57,8.11,23.33,6.77,15.03,7.99,24.81,64.75,1.07,151.22,8.72,None
08-01-2024 20:00,09-01-2024 00:00,75.53,160.95,113.31,93.24,139.58,38.69,15.71,3.55,2.59,8.04,6.33,5.19,4.47,7.13,19.38,84.82,1.26,262.91,None,None
09-01-2024 00:00,09-01-2024 04:00,75.08,135.24,29.54,62.98,56.6,21.84,9.83,1.87,2.09,16.1,32.09,9.27,21.36,11.35,17.28,91.11,1.43,244.94,0.17,None
09-01-2024 04:00,09-01-2024 08:00,61.31,111.54,4.79,36.3,22.79,14.54,4.67,0.74,3.12,8.51,12.36,3.07,6.54,2.75,16.41,93.68,1.05,228.02,4.53,None
09-01-2024 08:00,09-01-2024 12:00,65.66,123.86,5.11,47.37,28.72,15.85,13.61,1.14,48.05,8.83,10.87,2.42,5.85,2.35,22.67,71.75,1.19,164.26,127.71,None
09-01-2024 12:00,09-01-2024 16:00,56.21,102.1,None,None,None,None,9.58,1.11,64.38,6.63,12.21,2.28,7.14,2.8,28.08,56.53,1.72,186.07,113.55,None
09-01-2024 16:00,09-01-2024 20:00,55.87,108.99,115.19,111.8,150.78,165.93,18.38,2.39,15.13,10.79,21.79,8.8,24.18,11.74,24.65,70.23,1.06,206.87,9.94,None
09-01-2024 20:00,10-01-2024 00:00,72.15,159.95,104.07,88.74,129.82,106.52,16.2,3.51,2.4,8.05,18.66,10.1,17.57,8.7,21.75,82.66,1.06,211.32,5.4,None
10-01-2024 00:00,10-01-2024 04:00,67.02,121.97,5.39,51.16,31,46.15,8.15,1.08,6.62,9.34,28.6,9.33,14.82,6.4,20.78,85.31,0.96,213.02,6.33,None
10-01-2024 04:00,10-01-2024 08:00,52.79,97.83,2.99,22.81,14.23,30.54,3.83,0.63,22.69,4.27,4.65,1.2,1.98,0.91,20.82,81.42,1.01,222.06,11.35,None
10-01-2024 08:00,10-01-2024 12:00,56.98,106.11,2.79,40.73,23.47,31.95,26.96,1.02,55.35,8.23,10.84,2.25,5.24,2.38,24.74,68.76,1.01,138.98,141.5,None
10-01-2024 12:00,10-01-2024 16:00,58.36,111.57,1.67,30.05,16.9,25.53,52.24,0.82,82.37,0,0,None,None,None,28.14,57.73,0.81,132.2,102.43,None
10-01-2024 16:00,10-01-2024 20:00,48.55,86.99,33.05,73.5,64.86,44.32,14.23,1.86,19.03,8.52,29.8,7.98,20.94,9.6,23.46,78.01,1.09,231.46,9.15,None
10-01-2024 20:00,11-01-2024 00:00,58.28,122.52,81.08,66.34,99.68,56.09,12.61,3.03,2.06,15.97,52.59,15.02,38.63,18.05,19.85,91.48,1.15,244.89,0.15,None
11-01-2024 00:00,11-01-2024 04:00,59.68,103.74,3.17,34.99,20.75,26.27,4.46,0.88,7.45,7.82,13.73,3.16,8.15,3.54,20.58,88.33,0.84,209.3,1.94,None
11-01-2024 04:00,11-01-2024 08:00,45,79.28,4.17,23.1,15.55,22.58,3.3,0.78,4.06,5.78,6.25,0.97,2.54,0.99,18.43,94.13,0.9,212.29,5.92,None
11-01-2024 08:00,11-01-2024 12:00,56.85,96.12,2.71,25.76,15.53,21.73,14.36,0.96,33.38,8.55,8.28,1.2,3.2,1.28,22.59,77.73,1.07,99.41,133.04,None
11-01-2024 12:00,11-01-2024 16:00,50.42,96.64,2.86,38.9,22.48,22.72,80.44,0.77,66.32,6.46,9.27,1.81,3.91,1.96,27.76,61.65,1.19,114.74,97.42,None
11-01-2024 16:00,11-01-2024 20:00,51.83,108.18,11.32,79.84,49.95,32.52,40.96,1.34,22.67,7.66,28.23,6.55,14.64,7.09,25.35,70.32,0.9,183.51,15.22,None
11-01-2024 20:00,12-01-2024 00:00,62.15,123.22,27.87,70.14,58.93,36.62,20.97,1.93,10.04,13.5,47.84,10.63,25.1,12.27,22.73,78.63,0.88,154.38,0.1,None
12-01-2024 00:00,12-01-2024 04:00,51.51,96.3,2.12,31.69,18.24,20.72,8.86,0.75,10.88,7.11,10.27,1.58,4.38,1.82,20.1,87.91,1.02,225.69,None,None
12-01-2024 04:00,12-01-2024 08:00,36.23,65.8,5.77,21.11,15.6,18.88,5.08,0.61,10.63,4.3,5.56,0.72,2.13,0.8,18.76,90.48,1.19,210.04,9.43,None
12-01-2024 08:00,12-01-2024 12:00,35.86,68.85,3.65,28.23,17.67,18.58,28.27,0.5,41.88,6.21,8.01,1.32,3.65,1.59,23.46,69.94,1.16,109.62,146.11,None
12-01-2024 12:00,12-01-2024 16:00,40.17,71.64,6.01,51.44,31.61,23.54,47.36,0.71,53.84,4.45,9.35,1.5,4.04,1.8,28.18,57.7,1.27,156.19,82.12,None
12-01-2024 16:00,12-01-2024 20:00,63.95,112.77,54.9,90.18,91.02,46.13,45.61,2.74,33.95,12.83,41.77,11.12,26.65,12.85,25.21,71.46,1.11,170.37,13,None
12-01-2024 20:00,13-01-2024 00:00,90.67,168.21,75.22,79.06,101.63,50.84,18.78,3.2,2.38,20.66,67.56,18.1,44.62,21.81,20.97,87.42,1.07,231.1,0.2,None
13-01-2024 00:00,13-01-2024 04:00,78.42,124.92,3.64,41.15,24.39,22.28,11.48,0.84,5.41,7.93,16.27,3.17,8.15,3.66,19.81,88.26,1.28,230.8,0.27,None
13-01-2024 04:00,13-01-2024 08:00,45.44,69.59,3.92,25.15,16.12,17.57,7.93,0.65,5.19,5.61,10.08,1.61,4.36,1.8,18.04,90.96,1.24,227.59,5.49,None
13-01-2024 08:00,13-01-2024 12:00,45.29,76.82,3.75,35.49,21.53,18.36,17.2,0.82,40.2,6.08,15.47,1.38,3.53,1.44,22.88,67.02,1.14,154.86,141.63,None
13-01-2024 12:00,13-01-2024 16:00,37.22,64.48,1.82,23.29,13.42,15.47,18.47,0.64,88.49,3.72,9.27,1.33,2.69,1.05,28.38,55.72,1.35,164.46,76.72,None
13-01-2024 16:00,13-01-2024 20:00,50.55,91.58,27.02,83.82,65.41,36.05,11.86,1.93,36.18,8.76,39.15,12.63,21.02,10.76,25.8,68.75,1.06,167.4,11.82,None
13-01-2024 20:00,14-01-2024 00:00,71.86,137.3,47.65,83.42,81.78,42.87,15.49,2.37,3.33,13.79,48.53,14,30.44,15.39,22.17,81.3,0.89,188.9,1.34,None
14-01-2024 00:00,14-01-2024 04:00,56.2,89.33,1.02,31.98,17.38,17.67,11.2,0.54,18.62,5.13,9.63,1.76,3.86,1.54,20.71,80.61,1,234.13,None,None
14-01-2024 04:00,14-01-2024 08:00,35.44,49.11,3.02,23.25,14.57,16.12,7.38,0.39,5.42,3.82,6.67,0.95,2.42,0.95,17.05,93,1.24,218.77,4.47,None
14-01-2024 08:00,14-01-2024 12:00,44.7,62.51,2.98,25.74,15.65,16.56,14,0.65,54.83,6.47,6.39,1.28,2.87,1.28,23.46,68.37,1.17,134.07,143.81,None
14-01-2024 12:00,14-01-2024 16:00,51.8,88.22,1.28,19.45,10.96,15.24,21.78,0.65,105.16,None,None,None,None,None,29.07,56.32,1.03,161.75,99.97,None
14-01-2024 16:00,14-01-2024 20:00,58.72,96.43,3.17,45.56,25.27,19.68,26.37,1.14,43.25,None,None,None,None,None,26.23,68.73,1.26,180.57,14.71,None
14-01-2024 20:00,15-01-2024 00:00,81.45,143.17,10.36,33.6,22.41,17.36,18.54,2.29,3.71,None,None,None,None,None,22.85,82.56,0.94,220.52,2.5,None
15-01-2024 00:00,15-01-2024 04:00,61.61,93.98,1.15,15.11,7.39,10.92,6.8,0.48,29.37,None,None,None,None,None,21.05,80.15,0.96,256.75,None,None
15-01-2024 04:00,15-01-2024 08:00,40.19,58.73,1.65,9.22,4.22,5.99,5.64,0.45,14.38,None,None,None,None,None,17.76,90.79,1.35,216.11,4.6,None
15-01-2024 08:00,15-01-2024 12:00,41.67,67.23,1.43,18.17,10.19,11.57,13.06,0.27,60.03,5.14,5.58,0.87,2.17,0.95,22.72,67.04,1.03,103.85,151.7,None
15-01-2024 12:00,15-01-2024 16:00,41.09,73.07,1.66,17.45,9.16,10.19,30.55,0.59,106.25,4.27,8.16,1.12,2.63,1.09,27.48,53.53,0.93,141.98,76.9,None
15-01-2024 16:00,15-01-2024 20:00,53.37,93.99,43.71,58.2,64.68,29.99,43.64,1.91,46.9,8.4,24.89,6.78,15.91,7.92,24.76,63.78,1.08,194.38,8.47,None
15-01-2024 20:00,16-01-2024 00:00,79.97,144.99,38.16,70.87,67.58,33.1,20.86,1.82,13.34,13.82,37.29,9.81,24.98,12.27,20.88,73.5,0.92,213.37,None,None
16-01-2024 00:00,16-01-2024 04:00,42.81,64.8,1.93,14.32,8.04,8.17,6.64,0.57,29.18,3.26,8.62,3.03,3.23,1.01,17.3,82.12,1.37,221.41,None,None
16-01-2024 04:00,16-01-2024 08:00,39.29,55.38,1.27,18.84,10.56,11.04,7.88,0.51,23.43,None,None,None,None,None,15.61,85.47,1.02,212.88,6.97,None
16-01-2024 08:00,16-01-2024 12:00,50.32,79.72,1.75,18.47,10.43,10.3,13.86,0.65,67.16,4.13,6.28,1.46,2.42,0.92,21.34,65.29,1.34,98.66,151.14,None
16-01-2024 12:00,16-01-2024 16:00,73.13,109.96,2.29,24.55,14.43,12.64,17.82,0.47,85.03,4.57,9.99,1.55,4.12,1.62,27.03,55.22,1.31,182.37,75.8,None
16-01-2024 16:00,16-01-2024 20:00,61.12,105.9,17.77,26.57,37.56,18.7,14.53,1.68,26.74,8.46,28.05,7.43,17.64,9.63,24.73,60.39,1.26,177.36,7.6,None
16-01-2024 20:00,17-01-2024 00:00,105.04,181.2,10.46,13.53,22.19,13.89,13.51,2.94,2.49,14.03,40.91,12.67,30.01,14.97,18.77,86.44,1.09,246.44,None,None
17-01-2024 00:00,17-01-2024 04:00,131.76,181.98,7.83,12.49,20.32,12.23,9.04,1.89,2.36,14.39,36.64,9.05,21.51,10.64,16.93,93.55,1.19,242.5,0.54,None
17-01-2024 04:00,17-01-2024 08:00,111.1,150.77,1.52,5.95,7.28,6.97,2.51,0.73,5.25,7.34,10.19,2.87,4.76,1.97,15.56,94.26,1.1,215.68,6.41,None
17-01-2024 08:00,17-01-2024 12:00,84.25,131.72,1.51,8.51,9.7,8.39,13.61,0.55,39.66,5.95,7.17,1.37,3.26,1.39,20.98,78.11,0.96,122.72,129.46,None
17-01-2024 12:00,17-01-2024 16:00,77.58,120.18,1.84,11.63,13.31,10.79,11.65,0.99,68.32,7.57,15.51,3.3,7.94,3.33,26.77,67.42,1.4,174.75,122.15,None
17-01-2024 16:00,17-01-2024 20:00,87.41,131.16,13.38,17.13,30.16,17.08,9.32,2.2,20.72,10.45,32.56,8.11,20.35,9.73,24.88,75.39,1.11,190.32,18.26,None
17-01-2024 20:00,18-01-2024 00:00,105.57,171.06,14.99,22.4,37.39,20.56,11.97,2.39,2.31,15.92,47.38,12.76,31.32,15.44,21.7,88.52,0.95,211.85,1.7,None
